PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;343324077;343324077;N34166;OSETH;Def;N15077;OSETH;Def;05:27:00;06:15:00;;8801_1
Day Type 3;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;386190953;386190953;N15077;OSETH;Def;N34166;OSETH;Def;06:20:00;07:08:00;;8801_1
Day Type 3;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;312651459;312651459;N34166;OSETH;Def;N15077;OSETH;Def;07:10:00;08:00:00;;8801_1
Day Type 3;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;281486217;281486217;N15077;OSETH;Def;N34166;OSETH;Def;08:10:00;08:58:00;;8801_1
Day Type 3;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;290188091;290188091;N34166;OSETH;Def;N15077;OSETH;Def;09:00:00;09:50:00;;8801_1
Day Type 3;H_Depot;8801;8801;Revenue;88B;KTEL_H;Def;587058488;587058488;N15077;OSETH;Def;N15077;OSETH;Def;09:55:00;10:45:00;;8801_1
Day Type 3;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;723171238;723171238;N15077;OSETH;Def;N34166;OSETH;Def;10:55:00;11:43:00;;8801_1
Day Type 3;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;720475563;720475563;N34166;OSETH;Def;N15077;OSETH;Def;11:45:00;12:35:00;;8801_1
Day Type 3;H_Depot;8801;8801;Revenue;88A;KTEL_H;Def;847004309;847004309;N15077;OSETH;Def;N15077;OSETH;Def;12:40:00;13:40:00;;8801_2
Day Type 3;H_Depot;8801;8801;Revenue;88M;KTEL_H;Def;333230592;333230592;N15077;OSETH;Def;N34166;OSETH;Def;15:55:00;16:53:00;;8801_2
Day Type 3;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;332363713;332363713;N34166;OSETH;Def;N15077;OSETH;Def;16:55:00;17:45:00;;8801_2
Day Type 3;H_Depot;8801;8801;Revenue;88A;KTEL_H;Def;961658732;961658732;N15077;OSETH;Def;N15077;OSETH;Def;17:55:00;18:40:00;;8801_2
Day Type 3;H_Depot;8801;8801;Revenue;88B;KTEL_H;Def;298687751;298687751;N15077;OSETH;Def;N15077;OSETH;Def;19:00:00;20:00:00;;8801_2
Day Type 3;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;391342071;391342071;N15077;OSETH;Def;N34166;OSETH;Def;20:20:00;21:08:00;;8801_2
Day Type 3;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;189198532;189198532;N34166;OSETH;Def;N15077;OSETH;Def;21:10:00;22:00:00;;8801_2
Day Type 3;H_Depot;8801;8801;Revenue;88A;KTEL_H;Def;112590123;112590123;N15077;OSETH;Def;N15077;OSETH;Def;22:40:00;23:30:00;;8801_2
Day Type 3;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;415562117;415562117;N15077;OSETH;Def;N34166;OSETH;Def;23:35:00;24:20:00;;8801_2
Day Type 3;H_Depot;8802;8802;Revenue;88;KTEL_H;Def;186382780;186382780;N15077;OSETH;Def;N34166;OSETH;Def;05:10:00;05:58:00;;8802_1
Day Type 3;H_Depot;8802;8802;Revenue;88K;KTEL_H;Def;781670023;781670023;N34166;OSETH;Def;N15077;OSETH;Def;06:00:00;06:50:00;;8802_1
Day Type 3;H_Depot;8802;8802;Revenue;88H;KTEL_H;Def;916686069;916686069;N15077;OSETH;Def;N34087;OSETH;Def;07:00:00;08:05:00;;8802_1
Day Type 3;H_Depot;8802;8802;Revenue;88E;KTEL_H;Def;111176400;111176400;N34087;OSETH;Def;N15077;OSETH;Def;08:10:00;09:20:00;;8802_1
Day Type 3;H_Depot;8802;8802;Revenue;88A;KTEL_H;Def;824962042;824962042;N15077;OSETH;Def;N15077;OSETH;Def;09:30:00;10:25:00;;8802_1
Day Type 3;H_Depot;8802;8802;Revenue;88A;KTEL_H;Def;398715047;398715047;N15077;OSETH;Def;N15077;OSETH;Def;11:05:00;12:00:00;;8802_1
Day Type 3;H_Depot;8802;8802;Revenue;88B;KTEL_H;Def;103406689;103406689;N15077;OSETH;Def;N15077;OSETH;Def;12:10:00;13:00:00;;8802_1
Day Type 3;H_Depot;8802;8802;Revenue;88;KTEL_H;Def;938714213;938714213;N15077;OSETH;Def;N34166;OSETH;Def;13:05:00;13:53:00;;8802_2
Day Type 3;H_Depot;8802;8802;Revenue;88K;KTEL_H;Def;357706843;357706843;N34166;OSETH;Def;N15077;OSETH;Def;13:55:00;14:45:00;;8802_2
Day Type 3;H_Depot;8802;8802;Revenue;88B;KTEL_H;Def;468236267;468236267;N15077;OSETH;Def;N15077;OSETH;Def;14:50:00;15:50:00;;8802_2
Day Type 3;H_Depot;8802;8802;Revenue;88K;KTEL_H;Def;211501765;211501765;N15077;OSETH;Def;N34166;OSETH;Def;16:20:00;17:08:00;;8802_2
Day Type 3;H_Depot;8802;8802;Revenue;88;KTEL_H;Def;869597629;869597629;N34166;OSETH;Def;N15077;OSETH;Def;17:10:00;18:00:00;;8802_2
Day Type 3;H_Depot;8802;8802;Revenue;88H;KTEL_H;Def;177295748;177295748;N15077;OSETH;Def;N34087;OSETH;Def;18:20:00;19:18:00;;8802_2
Day Type 3;H_Depot;8802;8802;Revenue;88E;KTEL_H;Def;135823073;135823073;N34087;OSETH;Def;N15077;OSETH;Def;19:20:00;20:25:00;;8802_2
Day Type 3;H_Depot;8802;8802;Revenue;88E;KTEL_H;Def;487126828;487126828;N15077;OSETH;Def;N34087;OSETH;Def;20:35:00;21:33:00;;8802_2
Day Type 3;H_Depot;8803;8803;Revenue;88K;KTEL_H;Def;272196062;272196062;N15077;OSETH;Def;N34166;OSETH;Def;05:45:00;06:33:00;;8803_1
Day Type 3;H_Depot;8803;8803;Revenue;88M;KTEL_H;Def;755690833;755690833;N34166;OSETH;Def;N15077;OSETH;Def;06:35:00;07:35:00;;8803_1
Day Type 3;H_Depot;8803;8803;Revenue;88B;KTEL_H;Def;504520742;504520742;N15077;OSETH;Def;N15077;OSETH;Def;07:40:00;08:40:00;;8803_1
